fa             [fa]           "láb; lép"
fan            [fan]          "lépés"
faa            [faa]          "fordul"
fi             [fi]           "szőr"
fitha          [fitha]
fii            [fii]          "puha"
fu             [fu]           "tojás"
fà             [fà]           "valaki gyereke"
fá             [fá]           "pénisz"
fì             [fì]           "dönt, választ"
fìn            [fìn]          "választott"
fìi            [fìi]          "visz, akar"
fí             [fí]           "meleg"
fía            [fía]          "lélek, életerő"
fíia           [fíia]         "meleg"
fù             [fù]           "ürülék"
fú             [fú]           "üt"
ma             [ma]           "kéz"
mi             [mi]           "hírnév, hatalom"
mu             [mu]           "nagy állat, úr, antróp"
mui            [mui]          "ragadozó"
mà             [mà]           "jó"
màu            [màu]          "elégedettség"
màng           [màng]         "igen"
màa            [màa]          "jóllakott"
má             [má]           "család"
mì             [mì]           "porc"
mìa            [mìa]          "rugalmas"
mí             [mí]           "szopik; tej"
míi            [míi]          "testvér"
mù             [mù]           "valaki"
mú             [mú]           "ül"
múu            [múu]          "tyúk"
na             [na]           "öl"
nga            [nga]          "hát"
ngan           [ngan]         "hegy"
ngi            [ngi]          "alszik; gömb"
ngiu           [ngiu]         "összetekeredik"
ngu            [ngu]          "béka"
ngà            [ngà]          "harap"
ngá            [ngá]          "nyal"
ngì            [ngì]          "máj"
ngìa           [ngìa]         "finom"
ngìn           [ngìn]         "orvosság"
ngí            [ngí]          "*én"
ngía           [ngía]         "én"
ngù            [ngù]          "here"
ngú            [ngú]          "ellenség"
ngúa           [ngúa]         "beteg"
ngúi           [ngúi]         "betegség"
ni             [ni]           "ki, elő"
nini           [nini]         "vagina"
nu             [nu]           "szív"
nuia           [nuia]         "nagyszerű"
nura           [nura]         "mosolyog (dorombol)"
nà             [nà]           "észrevesz"
nàa            [nàa]          "tud"
nài            [nài]          "mozog"
nàn            [nàn]          "lény"
ná             [ná]           "anyám"
nì             [nì]           "eszik"
nìqhu          [nìxu]         "étel"
ní             [ní]           "szürkület, hajnal"
níi            [níi]          "tér"
nía            [nía]          "horizont"
nù             [nù]           "*patkány"
nùqhu          [nùxu]         "vándorpatkány"
nú             [nú]           "szül"
núa            [núa]          "új"
núi            [núi]          "teremt"
qha            [xa]           "vadászik"
qhi            [xi]           "esik (eső)"
qhimù          [ximù]         "zuhan"
qhiu           [xiu]          "eső"
qhu            [xu]           "egér"
qhà            [xà]           "ki? mi?"
qhá            [xá]           "fej"
qhán           [xán]          "homlok"
qhì            [xì]           "fut"
qhí            [xí]           "ti"
qhù            [xù]           "szag"
qhùn           [xùn]          "nyom"
qhùu           [xùu]          "út"
qhú            [xú]           "farok"
qhúthá         [xúthá]        "mögött"
ra             [ra]           "ugrik"
ri             [ri]           "*éjszaka"
rin            [rin]          "éjszaka"
ru             [ru]           "*gödör"
rua            [rua]          "fekete"
ruia           [ruia]         "mély, sötét"
rung           [rung]         "mély"
run            [run]          "gödör"
rà             [rà]           "szexel"
ràa            [ràa]          "szex"
rá             [rá]           "dolog, tárgy"
ráa            [ráa]          "föld, talaj"
rái            [rái]          "kő"
rì             [rì]           "kígyó"
rìng           [rìng]         "gonosz, ijesztő"
rí             [rí]           "hús"
rù             [rù]           "száj"
rú             [rú]           "bél"
sa             [sa]           "fúj; harag"
si             [si]           "bajusz"
sii            [sii]          "lát"
sia            [sia]          "megjelenik"
su             [su]           "levél"
sua            [sua]          "gyógynövény"
suu            [suu]          "nő"
sà             [sà]           "veréb; lélek"
sá             [sá]           "nappal"
sáa            [sáa]          "fény"
sán            [sán]          "csillag"
sì             [sì]           "hideg"
sìu            [sìu]          "kevés, szűkös"
sìa            [sìa]          "hideg, halott"
sí             [sí]           "fél"
síi            [síi]          "félelem"
sù             [sù]           "pisil"
sú             [sú]           "szopik"
tha            [tha]          "karom"
thi            [thi]          "fióka"
thu            [thu]          "fa"
thà            [thà]          "mászik"
thá            [thá]          "nincs"
thì            [thì]          "hol?"
thí            [thí]          "orr"
thù            [thù]          "nem"
thú            [thú]          "test"
thúa           [thúa]
wa             [wa]           "pocok"
wi             [wi]           "csont"
wu             [wu]           "van"
wufa           [wufa]         "áll"
wà             [wà]           "megy"
wá             [wá]           "hall; fül"
wé             [wé]           "iszik"
wì             [wì]           "rigó"
wí             [wí]           "víz"
wù             [wù]           "hal"
wú             [wú]           "fog"
ya             [ya]           "mond"
yaa            [yaa]          "beszél"
yi             [yi]           "szem"
yu             [yu]           "kacsa"
yuan           [yuan]         "lúd"
yà             [yà]           "tüzelő nő"
yá             [yá]           "nyúl"
yì             [yì]           "*gyerek"
yìan           [yìan]         "gyerek"
yìn            [yìn]          "kamasz gyerek"
yìu            [yìu]          "kicsi"
yí             [yí]           "vonul, megy valahova"
yía            [yía]          "fehér"
yù             [yù]           "vér"
yú             [yú]           "*férfi"
               []
ngí yà         [ngí yà]       "én"
mù yà          [mù yà]        "ő G1f"
mù yú          [mù yú]        "ő G1m"
mù yì          [mù yì]        "ő G2"
mu yà na       [mu yà na]     "ők"
