# !PR
na ñà       "nyak"
ñímíñ       "jóllakott, elégedett"
ñàñ         "nyitott száj"

#thà         "nem"

ni má        "szülőhely, fészek"

# send
fìra        "küld"
ñira        "forog"

ñá na       "tiszta"
ñá ña       "mosakszik"

# Irregular wu > wàu ?
wàu         "válni, lenni"
mùa         ""
nuà         "észrevevés, látás"
yuà         "tekintet, nézés"
yíà         "Hold"

sá li       "idő"
sá ní       "hajnal"

mí yàa      "nő"
faa ra      "láb"
fá ra       "hegy, csúcs"

ru rá       "padló"

# Wam and 3rd person paradigm
fawà
mù fawà
mu fawà
yi fawà
na fawà
rá fawà

ñusì        "te (desp.)"

ñasyá       "tűz"

sía "öreg, régi, hatalmas"

# Intensive forms ara-
araxu   "legfeljebb"
arayà   ""
arayú

fú mù "ütközik"
xìi ra "gyorsan fut"

sa ñà "zombi"

naxa "halandó; zsákmányállat"

máa tu "rend, közösség, igazság"

faa ta "fordulat, visszavágás, csapás; érv"
xúà "utolsó, végső"
rià "hajnal"

xí ya   "érdekes dolog"
xùi     "szó"
rúa     "húst rág"
