fa        [fa]
fan       [fan]
faa       [faa]
fyái      [fá]
và        [fà]
fyii      [fii]
fyi       [fi]
fitha     [fitha]
fyé       [fí]
féa       [fía]
féia      [fíia]
fìn       [fìn]
fyì       [fì]
fyìi      [fìi]
fẏ        [fu]
vúo       [fú]
vù        [fù]
ma        [ma]
mái       [má]
mèo       [màu]
màng      [màng]
mà        [mà]
màa       [màa]
mi        [mi]
méi       [míi]
mé        [mí]
mìa       [mìa]
mì        [mì]
mui       [mui]
mu        [mu]
móu       [múu]
mó        [mú]
mù        [mù]
mùu       [mùu]
na        [na]
nái       [ná]
nàa       [nàa]
nà        [nà]
nài       [nài]
nàn       [nàn]
nga       [nga]
ghan      [ngan]
ái        [ngá]
ghà       [ngà]
ghi       [ngi]
ghiu      [ngiu]
ngé       [ngí]
éa        [ngía]
ngì       [ngì]
ngìyà     [ngìyà]
ngìn      [ngìn]
ghu       [ngu]
úo        [ngú]
úa        [ngúa]
úi        [ngúi]
ngù       [ngù]
nini      [nini]
ni        [ni]
né        [ní]
néi       [níi]
néa       [nía]
nìqhu     [nìqhu]
nì        [nì]
nu        [nu]
nui       [nui]
nula      [nura]
nó        [nú]
nóa       [núa]
nói       [núi]
nùqhu     [nùqhu]
qha       [qha]
hái       [qhá]
hán       [qhán]
ghà       [qhà]
qhimù     [qhimù]
qhiu      [qhiu]
qhi       [qhi]
hé        [qhí]
ghì       [qhì]
qhu       [qhu]
qhui      [qhui]
húo       [qhú]
húthá     [qhúthá]
ghùu      [qhùu]
ghù       [qhù]
ghùn      [qhùn]
la        [ra]
rêa       [ráa]
ryéi      [rái]
rái       [rá]
rà        [rà]
ryé       [rí]
ryì       [rì]
ryìng     [rìng]
lin       [rin]
lua       [rua]
lung      [rung]
luia      [ruia]
lun       [run]
          []
rúo       [rú]
rù        [rù]
sa        [sa]
sái       [sá]
sêa       [sáa]
sà        [sà]
sia       [sia]
si        [si]
sé        [sí]
séi       [síi]
sì        [sì]
sìu       [sìu]
sìa       [sìa]
su        [su]
sua       [sua]
súo       [sú]
sù        [sù]
tha       [tha]
thái      [thá]
thà       [thà]
thi       [thi]
thé       [thí]
thì       [thì]
thu       [thu]
thúo      [thú]
thúa      [thúa]
thù       [thù]
wa        [wa]
wái       [wá]
wà        [wà]
wi        [wi]
wé        [wé]
wì        [wì]
wu        [wu]
wúo       [wú]
wù        [wù]
wufya     [wufa]
yaa       [yaa]
ya        [ya]
yái       [yá]
yà        [yà]
yi        [yi]
yé        [yí]
yìan      [yìan]
yìn       [yìn]
yìu       [yìu]
yuan      [yuan]
yu        [yu]
yó        [yú]
yù        [yù]
éyà       [ngí yà]
mùyà      [mù yà]
mùyó      [mù yú]
mùyì      [mù yì]
muyàna    [mu yà na]
éméng     [ngímíng]
àng       [ngàng]
fìla      [fìra]
ghila     [ngira]
áina      [ngá na]
wèo       [wàu]
mùa       [mùa]
nèo       [nàu]
sáili     [sá li]
sáiné     [sá ní]
méyàa     [mí yàa]
faala     [faa ra]
fyáila    [fá ra]
lurái     [ru rá]
áingé     [ngá ngí]
áinga     [ngá nga]
fawà      [fawà]
mùfawà    [mù fawà]
mufawà    [mu fawà]
yifawà    [yi fawà]
nafawà    [na fawà]
ráifawà   [rá fawà]
ghusì     [ngusì]
ghasyá    [ngasyá]
alaqhu    [araqhu]
alayà     [arayà]
alayó     [arayú]
vúomù     [fú mù]
ghìila    [qhìi ra]
mùmu      [mù mu]
saghà     [sa ngà]
naqha     [naqha]
