# !AN

amyǎxa  "jobban"
wàwàm   ""

# New pronoun le
le      "te"
yàu     ""

# Paradigm for wam (except p3 classes)
fàwa
fàwí
fàwù
fàwaxu
fàwáñ
fàwàñ
ñàfàm
lefàm

nóixu         "teremtő"

ñi nèo        "álom"

ñí éa fàwà
ñí fàwà
éa le fàwà

ai yùñ        "legalább"
xáin gan      "hegycsúcs"

# Intensive forms with a-
afàmū       "gond, jövés-menés"
alaxù       "legfeljebb"

mu tha      "sólyom"

nu fyáila   "tökéletesség"
nu sáili    "félidő"

ñiu na      "alvó ember"

qhua na     "osztályrész, juss"

sêathà      "avatár"

fyé rúa     "ház"

thá sáili   "sehol; soha"

thu qhan    "erdei vadász"

ñà na       "elszakad; eltép; elharap"

qhái ru     "lejtő, domboldal"

nó thà      "eunuch"
ñà thà      "eunuch"

si ya ya    "beszélgetés"
wi éa su    "ág"
nura qhua   "bánat"
sù ña       "nyál"
