fa             [fa]           "láb; lép"
fan            [fan]          "lépés"
foa            [faa]          "fordul"
fyi            [fi]           "szőr"
fitha          [fitha]
fei            [fii]          "puha"
fẏ             [fu]           "tojás"
wào            [fà]           "valaki gyereke"
fyái           [fá]           "pénisz"
fyỳ            [fì]           "dönt, választ"
fìn            [fìn]          "választott"
fìe            [fìi]          "visz, akar"
fyé            [fí]           "meleg"
féa            [fía]          "lélek, életerő"
féia           [fíia]         "meleg"
wuo            [fù]           "ürülék"
wúo            [fú]           "üt"
ma             [ma]           "kéz"
myi            [mi]           "ül $"
mu             [mu]           "nagy állat, úr, antróp"
mui            [mui]          "ragadozó"
myào           [mà]           "jó"
mèo            [màu]          "elégedettség"
myàng          [màng]         "igen"
myǎ            [màa]          "jóllakottság, béke"
mái            [má]           "család"
myỳ            [mì]           "porc"
mìa            [mìa]          "rugalmas"
myé            [mí]           "szopik; tej"
méi            [míi]          "testvér"
màu            [mù]           "valaki"
mó             [mú]           "ül"
móu            [múu]          "tyúk"
na             [na]           "öl"
nga            [nga]          "hát"
ghan           [ngan]         "hegy"
ghi            [ngi]          "alszik; gömb"
ghiu           [ngiu]         "összetekeredik"
ghu            [ngu]          "béka"
ghào           [ngà]          "harap"
ái             [ngá]          "nyal"
ngỳ            [ngì]          "máj"
ngìa           [ngìa]         "finom"
ngìn           [ngìn]         "orvosság"
ngé            [ngí]          "*én"
éa             [ngía]         "én"
ngàu           [ngù]          "here"
ú              [ngú]          "ellenség"
úa             [ngúa]         "beteg"
úi             [ngúi]         "betegség"
ni             [ni]           "ki, elő"
nini           [nini]         "vagina"
nu             [nu]           "szív"
nuia           [nuia]         "nagyszerű"
nula           [nura]         "mosolyog (dorombol)"
nào            [nà]           "észrevesz"
nǎ             [nàa]          "tud"
niào           [nài]          "mozog"
nàn            [nàn]          "lény"
nyái           [ná]           "anyám"
nỳ             [nì]           "eszik"
nìqhu          [nìxu]         "étel"
nyé            [ní]           "szürkület, hajnal"
nyéi           [níi]          "tér"
nyéa           [nía]          "horizont"
nàu            [nù]           "*patkány"
nùqhu          [nùxu]         "vándorpatkány"
nyó            [nú]           "szül"
nyóa           [núa]          "új"
nyói           [núi]          "teremt"
qha            [xa]           "vadászik"
qhi            [xi]           "esik (eső)"
qhimù          [ximù]         "zuhan"
qhiu           [xiu]          "eső"
