# !BR

# î enclitic
fìeî      "akarom"
saî       "merem"
séî       "félek, nem merek"
nyáiî     "szeretném, kérem"

myào lā   "Myǎla istennő"

myàosáili "jó idő"

luwíi     "folyó"
muéa xu   "antróp"
ñiéa thu  "gyümölcs"

thásáilixáiñganū    "sehol-hegyek"
la nào    "megért"
màu yào   "ember (Felis cattus)"
gàù nào   "érez"
na nào    "megért"

ni máiū   "egyszerre született testvérek, alom"

mu yó     "öregember"
umma      "öregasszony < Šum umma"

aséa      "öreg"

fìenaxa   "zsákmány"

si yaū    "hagyomány, mondások"
si nào    "rajz"
si nàa    "furcsa, különös, jellegzetes"
si sā     "ír"
si saxu   "írnok"
lalā      "rajta"

ù sỳ      "hal"
qhú yò    "üreg (embernél kisebb)"

su ái     "nyál"

# Egyiptian gods from early Bronze Age
wasáira   "Osiris"
riga      "Ra"
anafào    "Anubis"

nào fỳ    "isten"
húo sán   "sarkcsillag, vezércsillag"
nin húo sán "Ninxursañ"

thaxu      "sün"
xuhái      "hajlékonyság, mozgékonyság, karcsúság; befér, átfér, benyomakodik"
néi ñañi   "tágas, kényelmes"

nirúo fyé  "szoba"

# sā: some of the lengthenings already happened when these words were formed
fei sā     "szellő"
sixi       "szétterül, szétborul"

fyiéa mu   "ruha"
fyiéamu fiirâ "selyem"

sàéa naqha    "áldozat"
saéa ya naqhā "áldozó pap"

ryá màiqhú  "szürke patak"
