fa    "láb"
fi    "szőr"
fu    "tojás"
fà    "valaki gyereke"
fá    "pénisz"
fì    "dönt, választ"
fí    "meleg"
fù    "ürülék"
fú    "üt"
ma    "kéz"
mi    "hírnév, hatalom"
mu    "nagy állat, úr, antróp"
mà    "jó"
má    "család"
mì    "porc"
mí    "szopik; tej"
mù    "valaki"
mú    "ül"
na    "öl"
nga   "hát"
ngi   "alszik; gömb"
ngu   "béka"
ngà   "harap"
ngá   "nyal"
ngì   "máj"
ngí   "én"
ngù   "here"
ngú   "ellenség"
ni    "vagina"
nu    "szív"
nà    "észrevesz"
ná    "anyám"
nì    "eszik"
ní    "szürkület, hajnal"
nù    "patkány"
nú    "szül"
qha   "vadászik"
qhi   "esik (eső)"
qhu   "egér"
qhà   "ki? mi?"
qhá   "fej"
qhì   "fut"
qhí   "nahát!, nézd!"
qhù   "szag, nyom"
qhú   "farok"
ra    "ugrik"
ri    "*éjszaka"
ru    "*gödör"
rà    "szexel"
rá    "kő"
rì    "kígyó"
rí    "hús"
rù    "száj"
rú    "bél"
sa    "fúj"
si    "bajusz"
su    "levél"
sà    "veréb"
sá    "fény"
sì    "fél"
sí    "hideg"
sù    "pisil"
sú    "szopik"
tha   "karom"
thi   "fióka"
thu   "fa"
thà   "mászik"
thá   "nincs"
thì   "hol?"
thí   "orr"
thù   "$"
thú   "test"
wa    "pocok"
wi    "csont"
wu    "áll"
wà    "megy"
wá    "hall; fül"
wì    "rigó"
wí    "iszik"
wù    "hal"
wú    "fog"
ya    "mond"
yi    "szem"
yu    "kacsa"
yà    "tüzelő nő"
yá    "nyúl"
yì    "gyerek"
yí    "vonul, megy valahova"
yù    "vér"
yú    "férfi"
